x_coords,y_coords
-89.694069,46.186829
-89.698975,46.184026
-89.699934,46.179024
-89.699087,46.178433
-89.690005,46.180789
-89.685545,46.179674
-89.683506,46.18081
-89.684591,46.182766
-89.690747,46.183896
-89.691428,46.185975
-89.694069,46.186829
